"SCAF","EXIOBASE_file","EXIOBASE_name","exempt_cons_taxes"
"C","Y","Household final consumption P.3h","FALSE"
"C","Y","Non-profit institutions serving households P.3n","FALSE"
"G","Y","Government final consumption P.3g","FALSE"
"I","Y","Gross fixed capital formation P.51","FALSE"
"I","Y","Changes in inventories P.52","FALSE"
"I","Y","Acquisitions less disposals of valuables P.53","FALSE"
"L","F","Compensation of employees D.1","FALSE"
"K","F","Consumption of fixed capital K.1","FALSE"
"K","F","Net mixed income B.3n","FALSE"
"K","F","Net operating surplus B.2n","FALSE"
"Consumption_taxes","F","Taxes less subsidies on products purchased: Total","FALSE"
"Production_taxes","F","Other net taxes on production","FALSE"
